Species;Location;Nest ID;Date of Observation;X (WGS 84 / Pseudo-Mercator);Y (WGS 84 / Pseudo-Mercator)
Formica cinerea;Krielow;1;05/22/23 – 05/24/23;352.068.493.060.684;580.921.355.414.889
Formica cinerea;Krielow;2;05/24/23 – 05/26/23;35.207.291.863.661;580.922.146.762.409
Formica cinerea;Krielow;3;05/31/23 – 06/02/23;352.499.766.105.436;580.891.173.368.408
Formica cinerea;Königsberg;4;05/15/23 – 05/17/23;349.335.582.844.941;581.186.938.244.291
Formica cinerea;Königsberg;5;05/15/23 – 05/17/23;349.311.256.611.861;581.186.382.717.684
Formica cinerea;Königsberg;6;06/14/23 – 06/16/23;349.318.463.186.277;581.186.499.892.294
Formica cinerea;Königsberg;7;06/14/23 – 06/16/23;349.303.060.796.134;581.186.044.200.931
Tetramorium caespitum;Krielow;1;05/02/23 – 05/04/23;352.012.034.731.598;580.926.267.367.979
Tetramorium caespitum;Krielow;2;05/22/23 – 05/24/23;352.132.979.895.412;580.920.262.204.148
Tetramorium caespitum;Krielow;3;05/24/23 – 05/26/23;352.026.279.909.823;580.924.572.585.133
Tetramorium caespitum;Krielow;4;05/31/23 – 06/01/23;352.460.871.756.801;580.892.166.548.842
Tetramorium caespitum;Wachtelberg;5;05/10/23 – 05/12/23;346.623.032.873.766;581.070.636.124.717
Tetramorium caespitum;Wachtelberg;6;06/05/23 – 06/06/23;346.769.095.063.927;581.064.122.565.637
Tetramorium caespitum;Wachtelberg;7;06/07/23 – 06/09/23;346.626.892.171.174;581.071.619.714.998
Tetramorium caespitum;Königsberg;8;05/15/23 – 05/17/23;349.355.097.661.424;581.187.266.892.159
Tetramorium caespitum;Königsberg;9;06/12/23 – 06/14/23;349.139.179.541.349;581.194.362.137.753
Tetramorium caespitum;Königsberg;10;06/12/23 – 06/13/23;349.125.749.146.115;581.192.871.578.342
Tetramorium caespitum;Königsberg;11;06/14/23 – 06/16/23;349.062.654.638.183;581.182.598.304.985
Tetramorium caespitum;Königsberg;12;06/14/23 – 06/16/23;34.914.683.720.985;581.187.820.339.867
