,ID,Session,Pi,Location,Date,Time,Species,Nest,Activity,Activity_t1,Temperature,Humidity
0,1,0A71,Pi02,Krielow1,5/2/2023,12:28:00 PM,Tetramorium caespitum,A,3,NA,14.266,66.047
1,1,712F,Pi02,Krielow1,5/2/2023,12:49:00 PM,Tetramorium caespitum,A,0,3,13.088,66.708
2,1,947F,Pi02,Krielow1,5/2/2023,01:10:00 PM,Tetramorium caespitum,A,0,0,14.314,64.242
3,1,85,Pi02,Krielow1,5/2/2023,01:31:00 PM,Tetramorium caespitum,A,1,0,14.409,62.964
4,1,6370,Pi02,Krielow1,5/2/2023,01:52:00 PM,Tetramorium caespitum,A,0,1,14.768,60.206
5,1,E7AE,Pi02,Krielow1,5/2/2023,02:13:00 PM,Tetramorium caespitum,A,2,0,16.249,54.424
6,1,8C4E,Pi02,Krielow1,5/2/2023,02:34:00 PM,Tetramorium caespitum,A,1,2,18.343,51.608
7,1,9293,Pi02,Krielow1,5/2/2023,02:55:00 PM,Tetramorium caespitum,A,1,1,17.653,49.272
8,1,A688,Pi02,Krielow1,5/2/2023,03:16:00 PM,Tetramorium caespitum,A,4,1,19.698,43.197
9,1,C96D,Pi02,Krielow1,5/2/2023,03:37:00 PM,Tetramorium caespitum,A,2,4,17.843,45.143
10,1,A7EF,Pi02,Krielow1,5/2/2023,03:58:00 PM,Tetramorium caespitum,A,4,2,16.868,51.436
11,1,CDDF,Pi02,Krielow1,5/2/2023,04:19:00 PM,Tetramorium caespitum,A,5,4,16.654,49.202
12,1,EB77,Pi02,Krielow1,5/2/2023,04:40:00 PM,Tetramorium caespitum,A,4,5,16.63,47.825
13,1,2B03,Pi02,Krielow1,5/2/2023,05:01:00 PM,Tetramorium caespitum,A,7,4,18.747,39.809
14,1,F883,Pi02,Krielow1,5/2/2023,05:22:00 PM,Tetramorium caespitum,A,4,7,17.605,41.868
15,1,FC9A,Pi02,Krielow1,5/2/2023,05:43:00 PM,Tetramorium caespitum,A,3,4,18.985,38.864
